52 663
47 50 523
43 49 175
6 45 844
27 45 429
1 34 777
17 49 329
25 26 126
1 26 1302
10 14 762
30 38 310
2 12 1248
25 39 609
35 45 191
29 51 1330
24 44 481
7 8 183
16 34 545
3 43 307
4 24 150
8 49 815
24 36 207
13 26 374
1 28 635
12 49 885
16 46 1188
10 19 1076
16 35 543
31 49 306
29 35 453
3 9 534
30 48 198
8 43 686
4 30 437
17 45 441
22 33 275
19 47 365
37 50 551
38 46 726
20 41 290
12 30 1104
19 48 264
11 46 517
42 43 455
21 45 326
34 41 678
12 41 1371
14 29 612
27 49 656
13 20 1313
31 36 203
26 30 931
8 32 570
13 50 745
8 16 670
9 34 536
5 48 277
11 42 484
2 18 207
19 21 224
46 51 598
34 46 718
30 39 353
24 42 354
2 14 505
14 20 586
17 50 929
4 40 480
10 42 789
3 38 230
20 40 525
35 39 85
5 31 305
35 43 111
33 50 656
4 29 594
23 31 263
8 39 555
9 41 1032
8 28 998
26 33 674
9 22 735
3 10 663
31 50 767
1 30 541
4 44 331
10 44 1068
7 11 812
6 21 609
26 46 292
5 41 881
12 36 807
32 42 365
1 5 978
2 20 289
3 35 271
7 42 359
26 51 426
20 23 558
6 23 901
17 20 205
32 40 704
29 31 447
14 21 339
25 31 766
5 18 428
44 45 430
35 46 730
27 43 559
12 19 920
14 42 242
2 24 653
22 38 326
40 49 612
3 17 532
15 26 598
35 51 1116
0 41 566
21 39 249
23 50 515
16 37 650
38 42 324
39 40 421
28 51 1082
47 51 980
18 46 1045
21 35 167
31 33 151
16 40 443
28 39 481
3 15 384
20 44 433
1 6 45
3 32 517
29 38 494
2 50 995
3 40 545
25 45 454
0 26 799
14 26 599
18 22 461
8 27 1024
13 24 799
23 29 567
0 34 122
12 13 206
25 49 631
16 21 383
5 38 162
4 12 769
1 2 649
39 49 334
33 38 59
22 46 774
14 50 497
3 24 109
21 44 233
33 36 76
11 35 536
34 43 96
14 48 246
26 32 862
29 48 423
7 28 831
6 42 1095
22 39 366
11 48 617
10 26 417
14 19 425
37 46 691
1 20 392
33 51 1093
5 27 452
12 40 1248
6 22 491
25 27 159
10 48 1000
13 32 1216
25 38 630
6 26 1298
7 35 422
36 38 56
12 24 620
32 50 475
2 4 509
18 37 366
3 36 190
4 28 510
47 48 225
15 42 570
22 23 412
31 46 845
4 15 309
1 4 945
30 47 414
12 21 1020
16 26 1226
1 47 910
39 48 157
13 21 1165
27 36 524
1 11 1259
4 32 590
4 7 471
40 48 359
2 16 217
10 41 1552
43 47 170
11 50 188
32 45 747
19 22 94
48 49 265
20 28 459
1 33 782
7 49 644
5 14 40
3 49 478
24 27 329
17 41 493
19 35 275
4 41 848
5 34 206
4 26 584
3 13 897
33 49 244
13 45 849
18 32 701
10 39 846
29 41 315
26 31 823
37 43 173
3 26 527
18 31 220
0 36 208
10 37 810
15 36 244
42 50 504
15 39 282
42 51 1097
9 45 670
27 50 337
3 23 125
14 23 56
39 41 771
26 27 110
13 25 396
6 9 1096
23 30 421
15 30 357
4 49 387
2 15 537
0 12 975
19 39 348
6 27 1237
19 33 257
16 44 437
1 35 785
33 45 161
27 46 344
6 15 714
10 20 1314
6 25 1190
39 45 179
22 49 127
33 39 92
22 51 1271
32 43 799
22 45 357
33 40 442
23 39 79
8 50 883
37 42 286
9 49 772
5 7 492
36 51 1036
15 19 165
27 29 853
18 45 504
31 38 148
5 23 57
5 37 86
41 42 1022
0 30 146
29 37 552
11 20 927
3 29 690
25 33 614
11 25 335
8 37 572
38 43 136
12 25 254
6 10 1627
21 41 535
11 16 1078
9 36 534
31 45 312
10 36 835
38 41 729
1 41 103
39 51 1060
9 43 632
8 20 763
41 49 510
43 48 157
28 44 644
31 48 50
3 25 516
17 46 946
28 32 1096
1 9 1133
6 7 918
2 48 288
15 29 337
7 38 414
30 37 386
19 29 189
32 33 734
37 39 35
13 44 1268
11 21 700
16 51 1649
16 45 708
40 41 796
2 13 1400
23 48 230
6 31 701
24 45 173
6 20 362
16 33 561
24 30 556
28 34 416
13 42 1125
7 30 457
20 24 685
22 43 236
12 33 854
9 11 792
4 22 437
18 29 633
6 36 836
36 50 581
26 42 751
11 33 520
42 49 626
21 34 165
7 51 1430
2 39 427
1 44 823
20 31 340
10 43 913
0 11 655
18 25 945
7 20 580
11 22 758
4 35 166
23 45 140
20 43 402
15 18 549
14 33 176
12 39 836
11 32 584
24 48 373
13 16 1534
4 6 924
0 48 64
20 34 406
9 14 490
21 31 97
32 46 1095
13 36 971
19 42 638
11 51 619
32 37 625
43 50 678
7 43 530
31 47 261
43 51 1071
24 33 275
28 50 871
9 27 945
5 21 368
10 15 915
9 42 308
10 24 631
36 39 41
12 15 759
9 29 912
3 45 231
26 45 519
21 29 353
6 43 727
24 38 261
4 13 944
28 49 191
25 50 496
34 50 668
20 22 187
35 48 81
3 41 950
18 33 351
3 37 155
7 12 1234
14 44 320
0 45 280
2 21 241
9 50 800
33 42 382
28 31 492
39 44 263
10 29 1251
25 40 1029
6 48 702
5 9 523
16 18 421
8 18 308
8 22 767
14 30 443
40 43 512
11 24 245
29 42 816
16 43 579
20 47 549
15 24 326
15 45 156
17 23 420
28 30 445
8 40 239
18 28 711
23 25 537
35 38 43
22 50 914
10 50 285
36 37 43
26 49 726
5 19 435
22 44 407
1 16 495
27 33 579
19 40 601
5 12 744
8 14 561
30 40 409
5 15 329
38 48 115
27 31 725
2 26 1068
43 45 131
13 28 887
32 48 764
6 46 1157
8 25 1126
29 39 532
9 46 1185
3 5 70
17 37 380
11 49 663
24 26 435
11 36 451
8 31 510
11 26 283
24 32 606
11 28 688
2 17 135
22 24 522
33 41 684
17 48 190
24 50 393
27 37 517
37 45 164
9 12 1237
1 38 828
0 31 91
3 22 538
0 40 395
1 13 1516
0 44 240
2 27 970
0 23 275
18 19 512
8 26 1135
3 47 137
10 21 1086
30 31 190
17 36 356
1 12 1440
6 50 1405
9 30 619
0 42 464
4 16 700
28 42 771
3 14 100
29 36 509
8 29 940
2 33 394
7 27 941
2 25 1006
8 15 818
10 17 1190
14 31 270
1 46 1151
5 8 596
29 44 583
4 23 32
35 40 408
6 12 1440
15 49 130
11 27 182
24 35 292
8 33 607
22 31 267
4 50 500
25 47 531
12 28 805
17 25 890
6 38 804
7 36 461
26 40 1063
7 25 1023
2 44 220
25 35 644
3 51 909
3 34 275
26 29 912
12 23 760
41 44 721
5 29 624
20 25 941
30 51 1356
13 51 319
3 39 188
14 43 231
0 17 162
11 30 800
41 50 1329
18 51 1382
25 37 580
38 51 1092
19 28 210
4 27 479
2 32 903
11 45 401
