666 110722
116 264 10466
439 467 3887
170 458 5322
121 394 10671
22 220 15527
6 648 13139
150 338 1531
238 441 2874
112 364 11304
429 485 7848
131 646 17241
502 548 4057
24 462 9218
454 613 7071
283 620 8228
28 175 10187
232 254 9113
311 502 5119
172 324 5763
110 577 15508
109 576 15616
525 594 7995
419 581 10695
220 226 1364
326 594 10908
489 559 4738
67 260 9214
125 564 16934
177 237 3439
161 215 4292
425 592 11877
61 312 9882
542 658 9410
50 559 13886
204 607 8679
39 469 11203
370 610 8996
186 622 12709
30 163 11776
87 512 12561
119 413 10970
307 352 2348
231 350 7844
441 639 12452
151 246 1421
25 29 2246
240 629 10971
36 520 10091
278 491 3140
500 552 5109
440 484 7271
102 112 1928
486 513 2499
161 230 3982
165 452 4322
200 457 5348
109 351 11882
101 269 10171
64 644 13907
89 268 8606
126 619 16671
170 372 3450
154 178 4195
238 263 1330
391 435 2336
342 620 8334
54 419 9772
75 358 8439
123 617 17589
71 159 12446
380 387 355
459 614 5767
51 351 7490
272 472 4911
31 137 6463
533 546 1808
73 143 7144
263 445 2522
32 605 12073
578 626 5718
152 287 2526
51 616 12735
9 417 7754
372 413 1024
143 374 2132
208 253 6895
29 529 11035
99 610 17733
95 656 13430
379 482 8819
38 484 9203
270 369 789
307 347 2345
150 503 3276
258 259 711
328 554 7512
182 548 8152
13 458 8684
91 127 3742
452 483 6623
325 562 7418
66 500 12229
28 649 11729
406 463 3333
504 653 16714
217 625 17643
269 592 12749
160 204 2532
163 396 4411
497 569 7382
407 418 603
172 354 4711
249 409 2264
73 561 14786
43 54 2102
149 155 2435
242 472 5885
194 477 11692
32 44 1096
198 593 11461
420 661 15592
195 345 5766
132 152 6762
272 433 1802
187 309 8968
350 594 10894
107 408 13852
519 574 6543
12 494 9081
96 612 16511
474 599 3570
177 469 8528
261 459 3306
164 272 5277
260 609 9013
40 345 8135
257 622 9466
535 577 4458
54 351 8997
155 339 3050
163 454 3288
10 136 6837
372 597 10356
185 320 5087
