180 8055
118 139 3500
13 79 9000
103 138 9000
1 6 10000
62 152 30
12 98 30
13 53 3500
32 139 9000
36 161 9000
85 88 10000
43 70 30
31 76 9000
40 54 9000
21 153 9000
2 87 30
26 92 9000
80 148 3500
102 143 3500
19 34 3500
119 164 3500
6 54 30
71 136 3500
58 153 9000
102 153 9000
154 160 3500
87 93 10000
72 126 9000
9 103 3500
97 126 30
134 141 10000
90 131 3500
63 130 9000
48 138 3500
32 104 9000
57 163 3500
21 22 0
50 128 9000
44 88 3500
19 118 3500
0 5 10000
17 93 30
91 164 9000
11 173 9000
57 80 9000
81 147 3500
116 157 3500
71 90 3500
82 83 20
81 177 9000
159 172 3500
19 63 3500
32 146 3500
19 164 9000
134 155 9000
133 178 9000
0 24 30
57 109 30
53 72 30
143 179 9000
21 166 9000
18 31 9000
36 76 30
29 43 9000
141 171 3500
66 90 9000
54 174 3500
70 143 3500
44 129 3500
52 80 30
2 16 30
62 116 9000
32 47 3500
72 74 10000
147 160 3500
17 153 9000
129 136 3500
145 161 3500
25 76 3500
110 126 3500
98 164 3500
9 46 9000
14 22 10000
62 105 3500
4 89 30
57 93 30
129 139 3500
55 163 3500
56 114 9000
13 58 3500
66 145 9000
28 140 9000
50 111 30
71 155 30
21 68 9000
132 173 3500
136 145 9000
9 53 3500
20 141 9000
50 132 3500
42 143 30
47 90 3500
68 132 3500
4 99 30
68 101 9000
78 95 3500
135 157 3500
32 51 3500
40 173 3500
115 122 3500
41 92 3500
10 159 30
47 170 3500
66 88 9000
135 170 3500
73 90 3500
32 84 9000
8 170 30
18 36 3500
34 103 30
44 160 9000
14 30 3500
12 23 0
30 148 3500
46 136 9000
94 117 30
155 179 9000
11 129 30
59 119 30
69 175 9000
153 177 9000
86 171 3500
127 173 3500
48 72 30
4 109 30
86 134 9000
25 95 30
69 77 3500
120 164 9000
29 149 3500
68 123 3500
55 165 9000
109 132 9000
10 83 30
47 98 30
103 177 3500
131 176 3500
3 138 30
57 137 9000
62 71 10000
175 178 10000
42 47 10000
23 51 9000
57 105 9000
75 123 30
100 163 9000
130 132 9000
1 152 30
6 49 30
117 170 30
17 150 9000
103 175 3500
34 69 9000
28 46 3500
70 166 30
82 135 30
127 141 3500
2 19 30
66 99 3500
17 68 3500
152 158 9000
14 130 9000
39 117 9000
59 136 3500
28 117 9000
40 84 3500
14 84 9000
34 169 9000
35 82 9000
60 122 9000
105 168 3500
73 112 3500
172 178 10000
15 101 30
72 114 3500
40 145 3500
96 140 3500
39 43 10000
13 30 3500
104 125 9000
106 132 9000
24 102 30
33 122 9000
158 173 3500
84 126 3500
29 49 3500
19 29 9000
30 43 9000
173 179 10000
56 82 9000
46 51 3500
67 73 3500
74 132 9000
130 153 3500
3 173 30
0 164 30
126 155 3500
85 156 9000
17 145 9000
69 138 9000
52 54 10000
25 82 9000
49 99 3500
20 159 9000
124 141 3500
82 126 9000
138 142 10000
2 38 30
65 88 9000
136 138 10000
107 114 30
81 87 9000
139 150 30
83 114 3500
146 177 9000
11 26 3500
109 151 3500
57 165 3500
69 121 9000
42 169 9000
17 173 30
110 119 10000
124 163 30
32 138 9000
65 66 0
99 136 3500
91 153 3500
16 34 3500
21 124 3500
34 159 3500
101 103 10000
63 137 9000
33 46 3500
125 145 3500
68 120 9000
120 138 3500
80 94 3500
1 150 30
67 122 3500
7 97 9000
69 134 3500
50 144 30
13 21 10000
7 16 9000
33 67 30
42 55 9000
27 121 30
37 146 3500
9 156 9000
68 118 3500
42 162 9000
53 177 3500
48 120 30
0 103 30
100 159 3500
8 95 30
2 76 30
156 178 9000
154 175 3500
32 52 9000
50 85 30
10 17 30
86 163 30
96 114 30
54 165 9000
40 123 9000
16 105 9000
65 136 3500
168 174 10000
131 147 3500
53 65 9000
41 48 3500
35 158 3500
65 89 9000
12 132 3500
84 146 9000
26 36 3500
96 98 10000
23 147 9000
23 170 9000
39 116 9000
31 141 9000
68 98 3500
17 158 9000
90 171 3500
54 100 9000
19 79 30
51 98 9000
29 159 3500
152 153 20
27 83 3500
75 165 3500
87 155 9000
37 171 3500
101 165 3500
53 118 9000
152 160 3500
11 110 9000
46 125 3500
31 102 9000
49 96 9000
14 19 10000
38 62 9000
3 79 9000
31 152 9000
70 139 3500
100 107 10000
54 117 9000
1 120 9000
12 97 9000
21 81 30
23 123 3500
25 40 3500
61 72 9000
69 131 9000
44 122 3500
101 156 3500
46 162 9000
79 122 9000
60 96 3500
10 54 30
98 167 9000
72 120 30
0 142 30
9 74 3500
70 98 9000
26 128 9000
6 112 30
15 132 3500
109 114 10000
2 93 30
49 107 9000
38 74 9000
0 66 30
71 123 9000
12 123 3500
7 163 30
74 179 30
76 147 3500
55 131 30
13 82 9000
2 7 10000
36 88 3500
100 115 9000
44 148 3500
1 88 9000
3 70 3500
58 88 9000
40 109 9000
9 89 3500
40 79 30
39 163 9000
136 139 10000
61 105 9000
41 131 3500
27 32 10000
160 163 10000
58 111 30
34 91 30
83 130 30
37 43 10000
7 15 3500
84 175 3500
130 157 9000
104 133 3500
12 62 3500
26 80 9000
116 163 9000
31 86 9000
1 34 9000
14 179 30
61 120 3500
55 68 30
25 114 3500
23 163 30
20 67 3500
150 162 9000
146 174 3500
157 176 3500
122 154 3500
16 134 3500
10 35 30
21 152 9000
96 152 9000
79 163 3500
24 76 3500
50 60 30
122 174 9000
1 10 10000
106 169 3500
32 80 9000
60 67 10000
94 103 3500
15 16 0
21 43 3500
24 80 3500
82 118 9000
82 155 3500
90 159 9000
27 86 9000
73 170 9000
50 76 9000
40 147 9000
68 75 9000
24 35 0
144 159 3500
58 65 9000
39 96 30
93 132 9000
163 176 3500
48 96 9000
9 155 9000
90 105 3500
29 33 10000
60 130 3500
66 156 30
53 100 9000
27 157 3500
133 174 3500
29 174 9000
31 117 9000
155 162 3500
42 157 30
36 53 3500
75 174 30
7 63 3500
89 156 30
170 174 10000
1 107 3500
61 172 9000
61 67 10000
81 105 3500
105 140 9000
65 153 9000
106 154 9000
17 60 3500
28 100 9000
138 153 30
78 157 9000
26 162 3500
59 142 9000
14 168 30
95 137 30
44 130 3500
104 144 30
84 96 9000
14 31 3500
29 122 9000
48 161 9000
114 159 9000
32 79 3500
57 99 9000
94 97 9000
110 164 3500
120 167 9000
107 166 3500
41 90 9000
88 92 10000
95 174 3500
7 167 9000
31 174 9000
33 37 3500
102 140 3500
91 175 3500
1 115 9000
91 168 9000
99 138 3500
32 122 9000
46 66 9000
49 141 3500
56 85 30
120 179 9000
12 146 9000
7 175 30
12 179 9000
49 86 30
81 100 9000
30 96 9000
58 129 30
144 167 9000
103 118 9000
53 61 30
50 90 9000
120 170 3500
79 177 9000
7 118 9000
33 99 9000
94 171 9000
104 114 30
0 48 30
25 37 9000
67 112 9000
42 70 30
29 61 9000
60 150 9000
8 51 30
7 94 3500
75 100 9000
97 105 10000
99 176 3500
23 168 9000
4 6 10000
67 139 3500
65 128 3500
141 174 9000
86 162 30
63 147 30
101 146 9000
110 152 9000
16 156 30
57 73 9000
4 12 30
11 74 3500
25 176 9000
41 123 9000
0 32 30
113 168 9000
23 70 9000
52 99 3500
60 175 9000
17 74 30
58 117 30
68 86 3500
93 108 30
56 135 3500
78 178 30
33 147 3500
85 147 9000
57 104 9000
11 119 9000
80 102 9000
19 89 30
43 52 9000
15 167 9000
83 131 30
45 51 9000
78 89 9000
41 142 30
76 89 9000
17 156 30
3 125 9000
39 119 30
5 145 9000
85 149 3500
69 88 3500
25 96 30
72 121 30
48 142 9000
78 151 9000
139 159 3500
57 161 3500
10 110 30
3 160 9000
75 135 9000
67 81 3500
128 131 10000
113 178 9000
14 93 9000
146 167 3500
29 54 3500
17 175 30
26 96 30
7 112 30
62 90 3500
69 73 3500
131 155 9000
140 152 30
149 160 9000
87 128 9000
74 163 9000
105 130 9000
38 53 3500
16 130 3500
4 73 30
45 57 9000
152 159 9000
27 164 9000
47 173 9000
3 157 9000
43 88 9000
100 154 30
112 140 9000
25 152 3500
99 142 3500
46 144 3500
127 139 9000
16 52 3500
145 173 3500
46 53 3500
9 102 3500
77 129 9000
161 175 9000
90 176 3500
112 172 30
31 108 3500
19 148 9000
70 178 9000
91 97 3500
76 125 9000
72 82 10000
29 53 3500
34 141 9000
104 157 9000
62 106 3500
87 99 9000
41 130 3500
29 119 3500
25 28 10000
57 122 9000
105 122 9000
166 177 3500
33 130 30
65 178 30
100 136 9000
13 146 9000
42 80 9000
143 148 9000
38 59 3500
58 128 30
14 54 9000
138 150 30
89 98 3500
51 127 9000
54 95 9000
86 131 3500
56 90 9000
136 152 30
75 107 3500
7 149 9000
9 99 9000
18 66 9000
96 160 3500
106 158 9000
67 169 30
5 43 3500
68 121 9000
93 141 9000
102 127 30
116 133 3500
97 118 30
19 93 30
61 96 3500
7 31 3500
85 91 10000
129 151 3500
32 123 9000
47 163 9000
50 139 9000
80 92 9000
72 73 20
9 114 30
104 110 9000
51 133 3500
88 138 30
11 85 3500
39 93 9000
54 162 3500
133 170 3500
43 179 9000
24 52 3500
0 70 30
44 173 3500
68 108 3500
41 116 9000
46 80 9000
23 30 3500
112 176 30
117 157 3500
86 128 9000
44 142 9000
32 100 30
56 94 30
25 147 3500
105 133 3500
137 158 3500
34 175 9000
24 86 9000
3 74 3500
143 147 9000
123 124 0
96 179 3500
2 168 30
47 70 9000
53 104 3500
62 69 10000
42 145 3500
70 91 3500
56 110 30
22 44 9000
39 134 9000
17 47 3500
77 160 3500
87 89 10000
109 143 9000
42 123 9000
17 91 30
23 83 9000
68 128 3500
10 124 30
106 112 30
0 13 30
60 149 9000
53 101 9000
125 179 3500
0 51 30
71 115 3500
20 148 30
16 70 3500
52 122 30
133 163 3500
1 105 3500
43 171 3500
6 102 30
98 100 10000
80 123 30
33 111 3500
27 40 3500
134 169 3500
15 141 9000
13 161 30
65 174 9000
36 83 30
117 128 9000
134 166 3500
63 145 30
63 88 3500
18 110 9000
77 117 3500
14 143 3500
87 100 3500
2 15 30
58 127 9000
42 86 3500
75 112 3500
84 172 3500
22 138 9000
73 134 30
23 115 3500
9 172 30
76 150 9000
